,0,1,2,3,4,5,countries,topics,tweet_clean
68,1.56e+18,2022-08-17 12:51:35+00:00,"Russia abandons 20,000 'stupid' troops in Ukraine after counter-attack https://t.co/mbjTcuI0ZQ millions of stupid Russians have not abandoned Putin",Amsterdam,0,0,United Kingdom,Europe,Russia abandons 'stupid troops Ukraine counter-attack millions stupid Russians abandoned Putin
70,1.56e+18,2022-08-17 12:51:04+00:00,"More #HumanitarianAid from #Switzerland🇨🇭for #Ukraine 🇺🇦.

#Switzerland is sending another 100 tonnes of aid supplies this month.

Since the start of the war, 🇨🇭 has delivered over 5,300 tonnes of goods to 🇺🇦 and its neighbours.

More information here 👇

https://t.co/mOXup9FrRm https://t.co/22gH1Ew3gF",Amsterdam,0,0,United Kingdom,Europe,More sending another tonnes supplies month.Since start delivered tonnes goods neighbours.More information
71,1.56e+18,2022-08-17 12:50:17+00:00,"Zelensky's office threatens to destroy the Crimean bridge #pravda #russia #ukraine
https://t.co/06qqAxQwhy",Amsterdam,0,1,United Kingdom,Europe,Zelensky office threatens destroy Crimean bridge
89,1.56e+18,2022-08-17 12:57:34+00:00,"Crimea - more blasts &amp; new intelligence on Putin’s ambitions | U... https://t.co/HAya2y3vi0 via @YouTube #UkraineWillWin,#UkraineWar,#UkraineRussiaWar,#UkrainianArmy,#Mariupol,#StandWithUkraine,#UkrainianPOW,#Ukraine,#UkraineWarNews,#ArmUkraineNow,#Україна,#Crimea 🌻🇺🇦🇺🇸🇬🇧🇪🇺","Almere, Nederland",0,0,United Kingdom,Europe,Crimea blasts intelligence Putins ambitions
90,1.56e+18,2022-08-17 12:57:28+00:00,"Ukraine is likely preparing a counteroffensive in the south but will only strike when it’s confident of making progress, and Russia’s logistics and supply lines have been further hit, sources say https://t.co/Cbiobv7Bh4 via @bpolitics","Almere, Nederland",0,0,United Kingdom,Europe,Ukraine likely preparing counteroffensive south strike confident making progress Russias logistics supply lines sources
91,1.56e+18,2022-08-17 12:57:06+00:00,"Ukraine news live: Ukraine 'kills 200 Russians in a day' - as first grain ship ended up with Putin ally, not Egypt
https://t.co/YZTUFiPnjI
#wednesdaythought #UkraineWar #UkraineRussiaWar","Almere, Nederland",0,0,United Kingdom,Europe,Ukraine news live Ukraine 'kills Russians first grain ship ended Putin ally Egypt
93,1.56e+18,2022-08-17 12:56:44+00:00,Daily reminder: Every citizen of russia must be held accountable to stop their absurd imperial ambitions. Those who were born during the Second Chechen War are fighting in Ukraine now. Those who are born now are on track to be fighting another colonial war in 20 years.,"Almere, Nederland",1,5,United Kingdom,Europe,Daily reminder Every citizen russia must held accountable stop absurd imperial ambitions Those born Second Chechen fighting Ukraine Those born track fighting another colonial years
94,1.56e+18,2022-08-17 12:56:44+00:00,"On #sanctions against #Russia, a key debate is whether its frozen #CentralBank assets can be permanently seized to support #Ukraine’s recovery.

@antonm_law argues the legal complications could be overcome with political will:
https://t.co/gTAjvhF8zh","Almere, Nederland",3,3,United Kingdom,Europe,debate whether frozen assets permanently seized support recovery argues legal complications could overcome political
97,1.56e+18,2022-08-17 12:56:28+00:00,"Ukraine 🇺🇦 is fighting for democracy &amp; the world so we must win!
https://t.co/Bnv99TwShL","Almere, Nederland",0,0,United Kingdom,Europe,Ukraine fighting democracy world must
98,1.56e+18,2022-08-17 12:56:20+00:00,"EU is top importer of Russian #crude oil. Since Russia’s invasion of Ukraine, it has been planning to end its reliance on Russian #energy. Understand full data coverage of EU &amp; UK energy imports from Russia. https://t.co/Eg66H3wD98

#eutrade #ukimport #euimport #energygoods https://t.co/wwnc9RzxhY","Almere, Nederland",0,0,United Kingdom,Europe,importer Russian Since Russias invasion Ukraine planning reliance Russian Understand full data coverage energy imports Russia
101,1.56e+18,2022-08-17 12:56:10+00:00,Bayer says it will continue to send ag products to Russia despite the invasion in Ukraine. #AgTwitter,"Almere, Nederland",0,0,United Kingdom,Europe,Bayer says continue send products Russia despite invasion Ukraine
103,1.56e+18,2022-08-17 12:56:03+00:00,"Very kind’ busker, 87, who was #savagely #murdered #Raised #Money for #Ukraine?
https://t.co/QqbnvqdjVq","Almere, Nederland",0,0,United Kingdom,Europe,Very kind busker
104,1.56e+18,2022-08-17 12:56:01+00:00,Donetsk leader calls for ‘beneficial’ ties with North Korea https://t.co/w79o5RzmDI via @AJEnglish,"Almere, Nederland",0,0,United Kingdom,Europe,Donetsk leader calls beneficial ties North Korea
105,1.56e+18,2022-08-17 12:55:50+00:00,"Finland will reduce Russian visas by 90%
#Russia #russians #UkraineRussiaWar #war #sanctions #visa #travelvisa 

https://t.co/d8iVnZ0Ln8","Almere, Nederland",0,1,United Kingdom,Europe,Finland reduce Russian visas
106,1.56e+18,2022-08-17 12:55:50+00:00,"Russian military leaders are likely to be “increasingly concerned” about security in Crimea after reported explosions yesterday, a British intelligence update said. https://t.co/g9rX6exMHy","Almere, Nederland",0,0,United Kingdom,Europe,Russian military leaders likely increasingly concerned security Crimea reported explosions yesterday British intelligence update said
107,1.56e+18,2022-08-17 12:55:43+00:00,"How many of you are aware that should the US succeed in weakening Russia, Putin will launch tactical nukes? And if that doesn't work, strategic nukes.
You are aware of that, right?

My question to you: Is any nation worth WW3?

Ukraine?
Taiwan?
Israel?

I say no!","Almere, Nederland",0,2,United Kingdom,Europe,many aware succeed weakening Russia Putin launch tactical nukes work strategic nukes.You aware right question nation worth Ukraine Taiwan Israel
108,1.56e+18,2022-08-17 12:55:14+00:00,"Isn't it ironic that Ukraine wanted to be closer to Europe so fought for that right in 2014.

At the same time, russia didn't like that &amp; decided to take Crimea &amp; invade Donbas.

Now russians traveling to Eu are denied &amp; complain it's unfair because they want to feel European..🤷","Almere, Nederland",0,2,United Kingdom,Europe,ironic Ukraine wanted closer Europe fought right time russia like decided take Crimea invade Donbas.Now russians traveling denied complain unfair want feel European
109,1.56e+18,2022-08-17 12:55:02+00:00,"Ukrainian arty gone wrong, RIP. Unknown date and location.
 #UkraineWillWin #UkraineUnderAttack #Ukraine https://t.co/l0rXbPnjom","Almere, Nederland",0,0,United Kingdom,Europe,Ukrainian arty gone wrong Unknown date location
113,1.56e+18,2022-08-17 12:54:37+00:00,"Ukraine 'striking deeper into Russian territory' in potential shift https://t.co/nVMbbCDCuL via @YouTube, #UkraineWillWin,#UkraineWar,#UkraineRussiaWar,#UkrainianArmy,#Mariupol,#StandWithUkraine,#UkrainianPOW,#Ukraine,#UkraineWarNews,#ArmUkraineNow,#Україна,#Crimea 🌻🇺🇦🇺🇸🇬🇧🇪🇺","Almere, Nederland",0,0,United Kingdom,Europe,Ukraine 'striking deeper Russian territory potential shift
114,1.56e+18,2022-08-17 12:54:26+00:00,"1/ Moving photo essay on the #humanitarian response in Western #Ukraine by @CrisisGroup thanks to @AdeCar @Simon_Schlegel_ @JGutLucena.

https://t.co/dMqAvWTtzw","Almere, Nederland",0,0,United Kingdom,Europe,Moving photo essay response Western thanks
115,1.56e+18,2022-08-17 12:54:24+00:00,"⚡️Autonomous Republic of #Crimea: NSDC Secretary Oleksiy Danilov: ""Ukrainian armed forces would strike bridge, which Russia uses to transfer reinforcements ""as soon as the opportunity presents itself.""""

https://t.co/7jUUlQpr6j
#WARINUKRAINE #UKRAINEWAR #UKRAINERUSSIAWAR #UKRAINE https://t.co/RkhzXhB22e","Almere, Nederland",1,1,United Kingdom,Europe,Autonomous Republic NSDC Secretary Oleksiy Danilov Ukrainian armed forces would strike bridge Russia uses transfer reinforcements soon opportunity presents
116,1.56e+18,2022-08-17 12:54:19+00:00,"An elderly Ukrainian: ""Important people like him prevent people from forgetting our lives and our struggle! Thank you.""
-
American actor @LievSchreiber stands in front of a house which have been destroyed by #Russia bombardment in #Borodianka, near #Kyiv, #Ukraine ! https://t.co/TgjaJs46Ko","Almere, Nederland",0,0,United Kingdom,Europe,elderly Ukrainian Important people like prevent people forgetting lives struggle Thank -American actor stands front house destroyed bombardment near
117,1.56e+18,2022-08-17 12:54:13+00:00,"Russia: Ukraine, Soldiers of the DPR army destroyed another stronghold of the Armed Forces of Ukraine near Avdiivka using an anti-tank guided missile. Target identification, observation and fire adjustment were performed using the Mavic-3 quadrocopter...17-08-2022 https://t.co/kNJmHiKI4R","Almere, Nederland",0,0,United Kingdom,Europe,Russia Ukraine Soldiers army destroyed another stronghold Armed Forces Ukraine near Avdiivka using anti-tank guided missile Target identification observation fire adjustment performed using Mavic-3 quadrocopter 17-08-2022
